Age,Gender,Education,Monthly Income,Occupation,Country,City,Marital Status,Has Children,Children Use Learning Apps,Device,Internet Quality,Hours Online,Time of Day,Learning Mode,App Comfort Level,Ad Channel,Ad Click Frequency,Ad Format,Ad Message Clarity,Ad Design Appeal,Motivation,Learning Goals,Preferred Subjects,Preferred App Features,Selection Factors,Learning Challenges,Free Trial Willingness,Courses Taken Last Year,Signed Up,Sign-up Reason,Paid Subscription,Payment Preference,Willingness to Spend,Non-Subscription Reasons,Satisfaction Level,Would Recommend,Features Used Most,Other Apps Used,Desired Improvement
18-24,Female,Postgraduate,1000-2000,Entrepreneur,Morocco,Ronaldport,Married,No,Not applicable,Laptop/PC,Good,>6,Evening,Self-paced,5,LinkedIn,Never,Text,Somewhat,Very appealing,"Parental suggestion, Skill development, Hobby learning, Certification, Peer recommendation, Other","Pass exams, Personal enrichment, Networking, Earn certifications","Humanities, Science, Exam prep, Other","Recorded videos, Live classes, Offline access, Certificates, Peer interaction","App design, Customer support, Certification, Flexibility","Other, Technical issues, Time management, Poor internet, Lack of motivation, Lack of support",5,>10,No,Value for money,No,One-time purchase,10-20,"Not enough content, Other, Complicated signup, No payment method",2,No,"Quizzes, Other, Community forums, Live sessions","Khan Academy, None, Udemy, Coursera",Better UI
25-34,Male,Postgraduate,2000-5000,Entrepreneur,Mongolia,Aaronstad,Married,Yes,Not applicable,Smartphone,Good,>6,Afternoon,Self-paced,2,YouTube,Rarely,Video,Yes,Appealing,"Exam preparation, Parental suggestion, Academic help, Career growth, Other, Peer recommendation","Get a new job, Networking, Switch careers, Other, Pass exams","Exam prep, Humanities, Science, Business","Quizzes, Recorded videos, Peer interaction, Offline access, Personalized content","Other, Price, Tutor quality, Content quality, Certification, Flexibility","Time management, Lack of support, Distractions, Cost, Other, Technical issues",4,6-10,Yes,Trust in brand,Yes,Pay per course,10-20,,3,No,"Progress tracking, Downloadable resources, Leaderboards, Discussion boards, Live sessions, Other","None, Other, edX, Coursera",More live sessions
55+,Female,Other,2000-5000,Student,Netherlands,South Kimberly,Married,No,Not applicable,Smartphone,Average,1-2,Evening,One-on-one,1,Instagram,Never,Text,Somewhat,Appealing,"Parental suggestion, Skill development, Career growth, Certification, Peer recommendation","Improve current job skills, Networking, Other, Start a business","Technology, Languages, Business, Arts, Exam prep, Humanities","Certificates, Personalized content, Gamification, Quizzes, Other, Peer interaction","Customer support, App design, Price, Content quality, Other","Distractions, Lack of support, Technical issues, Poor internet",4,>10,No,Peer pressure,No,Monthly subscription,20-50,"Prefer free content, Not enough content, Lack of reviews, Other",4,Yes,"Live sessions, Other, Discussion boards, Leaderboards, Quizzes, Notes/highlighting","Skillshare, Other, Unacademy, edX, None, Coursera",Improved interaction
25-34,Female,Postgraduate,500-1000,Student,France,Johnberg,Single,Yes,Not applicable,Smartphone,Average,1-2,Evening,Group sessions,5,YouTube,Often,Text,Yes,Appealing,"Parental suggestion, Certification, Peer recommendation, Hobby learning","Switch careers, Networking, Personal enrichment, Get a new job, Earn certifications, Other","Languages, Business, Exam prep, Other","Peer interaction, Certificates, Offline access, Live classes","Content quality, Price, App design, Other","Other, Lack of motivation, Cost, Technical issues, Time management",1,>10,No,Value for money,No,Monthly subscription,10-20,"Lack of reviews, Complicated signup, Price, Prefer free content, Other",3,No,"Community forums, Downloadable resources, Live sessions, Notes/highlighting, Leaderboards, Discussion boards","Coursera, Khan Academy, edX, Byju’s",Better UI
25-34,Male,Postgraduate,1000-2000,Working Professional,Canada,Flynnmouth,Married,Yes,Not applicable,Smartphone,Excellent,4-6,Night,Self-paced,1,YouTube,Rarely,Influencer post,Yes,Unappealing,"Other, Academic help, Exam preparation, Certification","Other, Start a business, Pass exams, Get a new job, Switch careers, Improve current job skills","Business, Other, Technology, Science, Languages","Certificates, Personalized content, Quizzes, Recorded videos","Price, Flexibility, Tutor quality, Customer support, Certification","Time management, Cost, Boring content, Poor internet, Lack of support, Technical issues",4,3-5,Yes,Value for money,Yes,Annual subscription,20-50,,5,Yes,"Downloadable resources, Other, Quizzes, Progress tracking, Leaderboards, Notes/highlighting","Khan Academy, Skillshare, Byju’s, edX, Udemy, Coursera",More live sessions
45-54,Female,Other,500-1000,Working Professional,Singapore,Lake Christinamouth,Married,No,Not applicable,Smartphone,Good,2-4,Early morning,Blended,2,Google Search,Always,Influencer post,Yes,Neutral,"Career growth, Hobby learning, Peer recommendation, Certification, Other, Exam preparation","Pass exams, Networking, Personal enrichment, Other","Languages, Other, Science, Humanities","Peer interaction, Other, Live classes, Gamification, Recorded videos","Content quality, Customer support, Flexibility, Price, App design","Technical issues, Cost, Poor internet, Time management, Other",5,3-5,No,Interesting content,No,Pay per course,<10,"Not enough content, Privacy concerns, Complicated signup, No payment method, Other, Prefer free content",3,No,"Progress tracking, Live sessions, Other, Community forums, Discussion boards, Notes/highlighting","None, Khan Academy, Other, Byju’s, Udemy",Improved interaction
25-34,Male,Postgraduate,500-1000,Student,Marshall Islands,Christinahaven,Widowed,Yes,Yes,Smartphone,Poor,1-2,Early morning,Group sessions,1,Facebook,Sometimes,Text,Somewhat,Unappealing,"Parental suggestion, Career growth, Peer recommendation, Skill development","Start a business, Earn certifications, Personal enrichment, Switch careers, Pass exams","Business, Exam prep, Languages, Technology, Humanities, Science","Certificates, Offline access, Personalized content, Quizzes, Other, Peer interaction","Price, Content quality, Tutor quality, Flexibility, Certification, App design","Lack of motivation, Time management, Lack of support, Technical issues, Distractions, Other",4,3-5,Yes,Value for money,No,Free only,10-20,"Price, Privacy concerns, Not enough content, Other, Lack of reviews",4,Yes,"Leaderboards, Live sessions, Discussion boards, Downloadable resources","None, Unacademy, Byju’s, Coursera, edX, Udemy",Improved interaction
18-24,Male,Undergraduate,1000-2000,Student,Dominica,South Tami,Married,Yes,Not applicable,Smartphone,Average,2-4,Night,Self-paced,5,LinkedIn,Sometimes,Image,Yes,Appealing,"Career growth, Parental suggestion, Exam preparation, Academic help, Peer recommendation","Improve current job skills, Start a business, Pass exams, Other, Switch careers","Science, Humanities, Arts, Business","Peer interaction, Offline access, Certificates, Personalized content, Other, Live classes","Tutor quality, Content quality, Other, Certification","Lack of support, Cost, Distractions, Poor internet",4,1-2,Yes,Trust in brand,No,One-time purchase,<10,"Price, Lack of reviews, No payment method, Not enough content, Complicated signup, Prefer free content",5,Yes,"Progress tracking, Live sessions, Community forums, Other","Byju’s, Coursera, Khan Academy, Other",More courses
45-54,Male,Undergraduate,500-1000,Working Professional,Switzerland,New Masonville,Single,Yes,Not applicable,Smartphone,Excellent,2-4,Night,Self-paced,5,YouTube,Often,Video,No,Very unappealing,"Career growth, Parental suggestion, Exam preparation, Certification, Academic help","Switch careers, Networking, Start a business, Earn certifications, Personal enrichment","Technology, Exam prep, Languages, Humanities, Other","Certificates, Gamification, Quizzes, Offline access, Recorded videos","Flexibility, App design, Content quality, Other","Cost, Time management, Lack of motivation, Distractions, Poor internet",5,3-5,Yes,Interesting content,Yes,Monthly subscription,<10,,3,Yes,"Live sessions, Downloadable resources, Discussion boards, Other","Udemy, Khan Academy, Coursera, Skillshare, Unacademy, Byju’s",More courses
25-34,Female,Undergraduate,1000-2000,Student,Venezuela,Lake Kara,Single,Yes,Not applicable,Smartphone,Excellent,1-2,Early morning,Self-paced,4,Instagram,Rarely,Video,Yes,Very appealing,"Academic help, Skill development, Hobby learning, Certification","Start a business, Improve current job skills, Earn certifications, Switch careers, Other, Personal enrichment","Languages, Science, Exam prep, Other, Technology, Arts","Gamification, Other, Offline access, Peer interaction, Recorded videos, Live classes","Price, Customer support, Other, Peer reviews","Other, Cost, Time management, Technical issues, Lack of motivation",5,1-2,Yes,Value for money,No,Monthly subscription,20-50,"No payment method, Privacy concerns, Not enough content, Price, Other, Prefer free content",5,Yes,"Downloadable resources, Discussion boards, Quizzes, Leaderboards","None, Byju’s, Skillshare, Khan Academy",More affordable
25-34,Male,Undergraduate,500-1000,Student,Kenya,New Jessicashire,Single,No,Not applicable,Smart TV,Excellent,>6,Evening,Live classes,3,Facebook,Rarely,Video,Yes,Neutral,"Peer recommendation, Exam preparation, Parental suggestion, Certification, Skill development, Hobby learning","Personal enrichment, Improve current job skills, Other, Start a business","Science, Business, Other, Arts, Exam prep","Gamification, Live classes, Peer interaction, Personalized content, Quizzes, Certificates","Price, Peer reviews, Customer support, Flexibility","Poor internet, Lack of support, Time management, Boring content",4,>10,Yes,Lack of interest,No,Monthly subscription,10-20,"Price, No payment method, Lack of reviews, Privacy concerns, Complicated signup",5,Yes,"Leaderboards, Community forums, Notes/highlighting, Discussion boards, Quizzes, Progress tracking","Khan Academy, Byju’s, Coursera, edX, Udemy",More affordable
45-54,Female,Postgraduate,500-1000,Student,Tunisia,Kelseyshire,Married,No,Not applicable,Laptop/PC,Good,1-2,Early morning,Self-paced,5,Instagram,Sometimes,Text,No,Neutral,"Academic help, Peer recommendation, Skill development, Other","Switch careers, Earn certifications, Personal enrichment, Networking, Pass exams","Humanities, Other, Languages, Science","Recorded videos, Quizzes, Offline access, Personalized content","Price, Content quality, Tutor quality, Customer support","Lack of motivation, Cost, Lack of support, Time management",3,6-10,Yes,Value for money,No,Free only,50-100,"Complicated signup, Prefer free content, Privacy concerns, No payment method",4,Yes,"Discussion boards, Progress tracking, Leaderboards, Community forums","Coursera, None, Udemy, edX",More courses
45-54,Female,Postgraduate,500-1000,Student,Iran,Garyside,Married,Yes,Yes,Laptop/PC,Excellent,4-6,Evening,One-on-one,4,Google Search,Never,Text,Somewhat,Very appealing,"Skill development, Parental suggestion, Exam preparation, Academic help","Get a new job, Pass exams, Networking, Switch careers, Other","Humanities, Business, Science, Arts","Offline access, Quizzes, Certificates, Live classes, Personalized content","Other, Customer support, Tutor quality, Peer reviews, Price, Content quality","Lack of support, Poor internet, Other, Time management",5,>10,No,Value for money,No,Pay per course,<10,"Other, Price, Not enough content, Complicated signup, Lack of reviews, Privacy concerns",4,Yes,"Leaderboards, Progress tracking, Notes/highlighting, Discussion boards, Other, Downloadable resources","Skillshare, None, Coursera, Other, Khan Academy",More affordable
45-54,Female,Postgraduate,1000-2000,Student,Indonesia,Bryanport,Other,No,Not applicable,Laptop/PC,Average,>6,Evening,Blended,5,Instagram,Rarely,Text,Somewhat,Very appealing,"Exam preparation, Skill development, Peer recommendation, Career growth, Parental suggestion","Earn certifications, Networking, Pass exams, Get a new job, Start a business, Switch careers","Arts, Science, Languages, Business, Humanities, Other","Quizzes, Certificates, Offline access, Live classes, Personalized content","Flexibility, Content quality, Tutor quality, Other, App design, Customer support","Technical issues, Other, Boring content, Cost",5,3-5,Yes,Trust in brand,Yes,Annual subscription,50-100,,5,Yes,"Quizzes, Downloadable resources, Live sessions, Notes/highlighting","Unacademy, None, Khan Academy, Other, Skillshare",More live sessions
35-44,Female,High School,500-1000,Working Professional,Burkina Faso,South Michelle,Single,No,Not applicable,Laptop/PC,Good,2-4,Evening,Group sessions,2,Facebook,Never,Video,Somewhat,Appealing,"Other, Hobby learning, Exam preparation, Academic help, Parental suggestion, Certification","Get a new job, Other, Start a business, Networking","Science, Technology, Exam prep, Languages, Other, Humanities","Certificates, Offline access, Peer interaction, Other","Tutor quality, Content quality, Flexibility, Customer support, Peer reviews, Price","Cost, Time management, Lack of motivation, Boring content, Technical issues",2,0,No,Parental advice,No,Annual subscription,>100,"Privacy concerns, Lack of reviews, No payment method, Not enough content",4,Yes,"Progress tracking, Other, Discussion boards, Notes/highlighting, Quizzes, Live sessions","Udemy, None, Byju’s, Other",More courses
35-44,Male,High School,1000-2000,Student,Haiti,North John,Married,No,Not applicable,Tablet,Excellent,2-4,Afternoon,Self-paced,3,Facebook,Never,Text,Somewhat,Appealing,"Skill development, Exam preparation, Career growth, Certification","Pass exams, Earn certifications, Switch careers, Improve current job skills, Start a business, Personal enrichment","Exam prep, Languages, Business, Other","Offline access, Quizzes, Personalized content, Recorded videos, Other, Peer interaction","Peer reviews, Tutor quality, Content quality, Flexibility","Cost, Lack of motivation, Technical issues, Time management, Poor internet",4,0,No,Trust in brand,No,Annual subscription,20-50,"Prefer free content, Privacy concerns, Price, Lack of reviews, No payment method, Other",5,Yes,"Community forums, Discussion boards, Notes/highlighting, Live sessions, Leaderboards","Byju’s, Skillshare, Udemy, Coursera",More courses
